shelter_name,shelter_id,bundesland,bez,gen,latitude,longitude,Aufnahme möglich für Frauen mit bis zu einem Kind,Aufnahme möglich für Frauen mit mehreren Kindern,Aufnahme möglich ohne detaillierte Angabe,Keine Aufnahme möglich,Platz für Frauen ohne Kinder,keine Angabe,einrichtungsart,Gehbehinderung,Hörbehinderung/Taubheit,Sehbehinderung/Blindheit,Suchtmittelabhängigkeit
1. &amp 3. Hamburger Frauenhaus,2382,Hamburg,Kreisfreie Stadt,Hamburg,53.5528284,9.9966396,0.0,0.0,0.01549053356282272,0.0,0.0,0.9845094664371773,Frauenhaus,True,False,False,False
1. Autonomes Frauenhaus,2027,Sachsen,Kreisfreie Stadt,Leipzig,51.325187635158,12.373901299377,0.16695352839931152,0.0,0.0,0.23838209982788297,0.5946643717728055,0.0,Frauenhaus,False,False,False,False
1. Frauenhaus Köln,2140,Nordrhein-Westfalen,Kreisfreie Stadt,Köln,50.933466575848,6.998637825656,0.0051635111876075735,0.0034423407917383822,0.0008605851979345956,0.9879518072289156,0.0025817555938037868,0.0,Frauenhaus,True,False,False,False
2. Autonomes Frauenhaus Berlin,2274,Berlin,Kreisfreie Stadt,Berlin,52.516226925016,13.377744825842,0.0,0.0,0.0,0.0,0.0,1.0,Frauenhaus,False,False,False,False
2. Autonomes Frauenhaus Köln,2253,Nordrhein-Westfalen,Kreisfreie Stadt,Köln,50.921396360676,6.995416051662,0.0051635111876075735,0.014629948364888123,0.0,0.9759036144578314,0.004302925989672977,0.0,Frauenhaus,False,False,False,False
2. Hamburger Frauenhaus e.V.,2367,Hamburg,Kreisfreie Stadt,Hamburg,53.541814575369,9.998572209518,0.0,0.0,0.0,0.0,0.0,1.0,Frauenhaus,True,False,False,False
24/7 Notaufnahme der Hamburger Frauenhäuser,2039,Hamburg,Kreisfreie Stadt,Hamburg,53.554448,9.991344,0.0,0.0,0.0,0.0,0.0,1.0,,True,False,False,False
4. Frauen*- und Kinderschutzhaus Leipzig,2317,Sachsen,Kreisfreie Stadt,Leipzig,51.3406321,12.3747329,0.022375215146299483,0.17555938037865748,0.0,0.6557659208261618,0.14629948364888123,0.0,Frauenhaus,False,False,False,False
6. Autonomes Frauenhaus Hamburg,2381,Hamburg,Kreisfreie Stadt,Hamburg,53.5528284,9.9966396,0.0,0.0,0.0,0.0,0.0,1.0,Frauenhaus,False,False,False,False
AWO Frauenhaus,2297,Niedersachsen,Landkreis,Region Hannover,52.3744779,9.7385532,0.0,0.0,0.0,0.0,0.0,1.0,Frauenhaus,True,False,False,False
AWO Frauenhaus &quotLotte Lemke&quot,2103,Hessen,Landkreis,Hochtaunuskreis,50.2268308,8.6181618,0.01721170395869191,0.10154905335628227,0.0,0.8812392426850258,0.0,0.0,Frauenhaus,False,False,False,False
