shelter_name,shelter_id,bundesland,bez,gen,monthyear,Aufnahme möglich für Frauen mit bis zu einem Kind,Aufnahme möglich für Frauen mit mehreren Kindern,Aufnahme möglich ohne detaillierte Angabe,Keine Aufnahme möglich,Platz für Frauen ohne Kinder,keine Angabe,einrichtungsart,Gehbehinderung,Hörbehinderung/Taubheit,Sehbehinderung/Blindheit,Suchtmittelabhängigkeit
1. &amp 3. Hamburger Frauenhaus,2382,Hamburg,Kreisfreie Stadt,Hamburg,2022-01,0.0,0.0,0.0,0.0,0.0,1.0,Frauenhaus,True,False,False,False
1. Autonomes Frauenhaus,2027,Sachsen,Kreisfreie Stadt,Leipzig,2022-01,0.0,0.0,0.0,0.9891304347826086,0.010869565217391304,0.0,Frauenhaus,False,False,False,False
1. Frauenhaus Köln,2140,Nordrhein-Westfalen,Kreisfreie Stadt,Köln,2022-01,0.06521739130434782,0.021739130434782608,0.0,0.9130434782608695,0.0,0.0,Frauenhaus,True,False,False,False
2. Autonomes Frauenhaus Berlin,2274,Berlin,Kreisfreie Stadt,Berlin,2022-01,0.0,0.0,0.0,0.0,0.0,1.0,Frauenhaus,False,False,False,False
2. Autonomes Frauenhaus Köln,2253,Nordrhein-Westfalen,Kreisfreie Stadt,Köln,2022-01,0.0,0.0,0.0,0.9565217391304348,0.043478260869565216,0.0,Frauenhaus,False,False,False,False
2. Hamburger Frauenhaus e.V.,2367,Hamburg,Kreisfreie Stadt,Hamburg,2022-01,0.0,0.0,0.0,0.0,0.0,1.0,Frauenhaus,True,False,False,False
24/7 Notaufnahme der Hamburger Frauenhäuser,2039,Hamburg,Kreisfreie Stadt,Hamburg,2022-01,0.0,0.0,0.0,0.0,0.0,1.0,,True,False,False,False
4. Frauen*- und Kinderschutzhaus Leipzig,2317,Sachsen,Kreisfreie Stadt,Leipzig,2022-01,0.2826086956521739,0.717391304347826,0.0,0.0,0.0,0.0,Frauenhaus,False,False,False,False
6. Autonomes Frauenhaus Hamburg,2381,Hamburg,Kreisfreie Stadt,Hamburg,2022-01,0.0,0.0,0.0,0.0,0.0,1.0,Frauenhaus,False,False,False,False
AWO Frauenhaus,2297,Niedersachsen,Landkreis,Region Hannover,2022-01,0.0,0.0,0.0,0.0,0.0,1.0,Frauenhaus,True,False,False,False
AWO Frauenhaus &quotLotte Lemke&quot,2103,Hessen,Landkreis,Hochtaunuskreis,2022-01,0.08695652173913043,0.0,0.0,0.9130434782608695,0.0,0.0,Frauenhaus,False,False,False,False
AWO Frauenhaus Bielefeld,2118,Nordrhein-Westfalen,Kreisfreie Stadt,Bielefeld,2022-01,0.0,0.0,0.2717391304347826,0.7282608695652174,0.0,0.0,Frauenhaus,False,False,False,False
AWO Frauenhaus Iserlohn,2232,Nordrhein-Westfalen,Kreis,Märkischer Kreis,2022-01,0.0,0.0,0.0,1.0,0.0,0.0,Frauenhaus,False,False,False,False
AWO Frauenhaus Landshut,2187,Bayern,Kreisfreie Stadt,Landshut,2022-01,0.0,0.0,0.0,1.0,0.0,0.0,Frauenhaus,False,False,False,False
AWO Frauenhaus Ludwigslust,2148,Mecklenburg-Vorpommern,Landkreis,Ludwigslust-Parchim,2022-01,0.0,0.0,0.0,1.0,0.0,0.0,Frauenhaus,False,False,False,False
AWO Frauenhaus Neu-Ulm,2094,Bayern,Landkreis,Neu-Ulm,2022-01,0.0,0.0,0.0,1.0,0.0,0.0,Frauenhaus,False,False,False,False
AWO Frauenhaus Nurdan-Eker Wiesbaden,2312,Hessen,Kreisfreie Stadt,Wiesbaden,2022-01,0.0,0.0,0.0,1.0,0.0,0.0,Frauenhaus,False,False,False,False
AWO Frauenhaus Schaumburg,2353,Niedersachsen,Landkreis,Schaumburg,2022-01,0.0,0.0,0.05434782608695652,0.358695652173913,0.0,0.0,Frauenhaus,False,False,False,False
AWO Frauenhaus Schwalm-Eder,2104,Hessen,Landkreis,Schwalm-Eder-Kreis,2022-01,0.0,0.0,0.05434782608695652,0.9456521739130435,0.0,0.0,Frauenhaus,False,False,False,False
AWO Frauenhaus Würzburg,2138,Bayern,Kreisfreie Stadt,Würzburg,2022-01,0.0,0.0,0.5869565217391305,0.41304347826086957,0.0,0.0,Frauenhaus,False,False,False,False
AWO Frauenschutzhaus Stralsund,2172,Mecklenburg-Vorpommern,Landkreis,Vorpommern-Rügen,2022-01,0.0,0.0,1.0,0.0,0.0,0.0,Frauenhaus,False,False,False,False
AWO-Frauenhaus,2311,Nordrhein-Westfalen,Kreis,Kleve,2022-01,0.0,0.21739130434782608,0.0,0.782608695652174,0.0,0.0,Frauenhaus,False,False,False,False
AWO-Frauenhaus im Landkreis Harburg,2386,Niedersachsen,Landkreis,Harburg,2022-01,0.0,0.0,0.0,0.0,0.0,1.0,Frauenhaus,False,False,False,False
AWO-Frauenhaus-Bottrop,2321,Nordrhein-Westfalen,Kreisfreie Stadt,Bottrop,2022-01,0.0,0.17391304347826086,0.0,0.6086956521739131,0.21739130434782608,0.0,Frauenhaus,False,False,False,False
Autonome Frauenschutzeinrichtung Brandenburg an der Havel,2347,Brandenburg,Kreisfreie Stadt,Brandenburg an der Havel,2022-01,0.0,0.0,0.0,0.0,0.0,1.0,Frauenhaus,True,False,False,False
Autonomes Bremer Frauenhaus,2198,Bremen,Kreisfreie Stadt,Bremen,2022-01,0.0,0.0,0.0,0.0,0.0,1.0,Frauenhaus,False,True,False,False
Autonomes Frauenhaus,2081,Hessen,Landkreis,Waldeck-Frankenberg,2022-01,0.0,0.2391304347826087,0.0,0.7608695652173914,0.0,0.0,Frauenhaus,False,False,False,False
Autonomes Frauenhaus,2170,Hessen,Landkreis,Main-Kinzig-Kreis,2022-01,0.0,0.0,0.0,0.9891304347826086,0.010869565217391304,0.0,Frauenhaus,False,False,False,False
Autonomes Frauenhaus Bielefeld,2220,Nordrhein-Westfalen,Kreisfreie Stadt,Bielefeld,2022-01,0.0,0.0,0.0,1.0,0.0,0.0,Frauenhaus,False,False,False,False
Autonomes Frauenhaus Celle,2041,Niedersachsen,Landkreis,Celle,2022-01,0.0,0.09782608695652174,0.0,0.9021739130434783,0.0,0.0,Frauenhaus,False,False,False,False
Autonomes Frauenhaus Dortmund,2052,Nordrhein-Westfalen,Kreisfreie Stadt,Dortmund,2022-01,0.0,0.021739130434782608,0.10869565217391304,0.8695652173913043,0.0,0.0,Frauenhaus,True,True,False,False
Autonomes Frauenhaus Duisburg,2199,Nordrhein-Westfalen,Kreisfreie Stadt,Duisburg,2022-01,0.0,0.0,0.06521739130434782,0.9347826086956522,0.0,0.0,Frauenhaus,False,False,False,False
Autonomes Frauenhaus Elmshorn,2049,Schleswig-Holstein,Kreis,Pinneberg,2022-01,0.0,0.14130434782608695,0.0,0.8586956521739131,0.0,0.0,Frauenhaus,False,False,False,False
Autonomes Frauenhaus Erlangen,2265,Bayern,Kreisfreie Stadt,Erlangen,2022-01,0.0,0.0,0.0,0.0,0.0,1.0,Frauenhaus,True,False,False,False
Autonomes Frauenhaus Frankfurt,2091,Hessen,Kreisfreie Stadt,Frankfurt am Main,2022-01,0.0,0.0,0.0,1.0,0.0,0.0,Frauenhaus,False,False,False,False
Autonomes Frauenhaus Gießen,2181,Hessen,Landkreis,Gießen,2022-01,0.0,0.07608695652173914,0.358695652173913,0.5652173913043478,0.0,0.0,Frauenhaus,False,False,False,False
Autonomes Frauenhaus Heilbronn,2259,Baden-Württemberg,Stadtkreis,Heilbronn,2022-01,0.0,0.0,0.0,1.0,0.0,0.0,Frauenhaus,False,False,False,False
Autonomes Frauenhaus Itzehoe,2193,Schleswig-Holstein,Kreis,Steinburg,2022-01,0.0,0.0,0.0,1.0,0.0,0.0,Frauenhaus,True,True,True,False
Autonomes Frauenhaus Kempten (Allgäu),2024,Bayern,Kreisfreie Stadt,Kempten (Allgäu),2022-01,0.0,0.0,0.0,1.0,0.0,0.0,Frauenhaus,False,False,False,False
Autonomes Frauenhaus Kreis Plön,2034,Schleswig-Holstein,Kreis,Plön,2022-01,0.0,0.13043478260869565,0.0,0.8369565217391305,0.03260869565217391,0.0,Frauenhaus,True,False,False,False
Autonomes Frauenhaus Leverkusen,2151,Nordrhein-Westfalen,Kreisfreie Stadt,Leverkusen,2022-01,0.0,0.0,0.0,1.0,0.0,0.0,Frauenhaus,False,False,False,False
