shelter_name,shelter_id,latitude,longitude,timestamp,description,status,gen,bez,bundesland,einrichtungsart,Gehbehinderung,Hörbehinderung/Taubheit,Sehbehinderung/Blindheit,Suchtmittelabhängigkeit
Frauen- und Kinderschutzhaus Aachen,2270,50.788047150729,6.097588101025,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Städteregion Aachen,Kreis,Nordrhein-Westfalen,Frauenhaus,False,False,False,False
Frauenhaus Alsdorf,2244,50.871672283047,6.208659018565,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Städteregion Aachen,Kreis,Nordrhein-Westfalen,Frauenhaus,False,False,False,False
Frauenhaus Bad Hersfeld,2114,50.869468708997,9.714945143903,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Hersfeld-Rotenburg,Landkreis,Hessen,Frauenhaus,False,False,False,False
AWO Frauenhaus &quotLotte Lemke&quot,2103,50.2268308,8.6181618,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Hochtaunuskreis,Landkreis,Hessen,Frauenhaus,False,False,False,False
Haus für Frauen in Not,2150,50.142945932409,8.06664247563,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Rheingau-Taunus-Kreis,Landkreis,Hessen,Frauenhaus,False,False,False,False
Autonomes Frauenhaus,2081,51.11062982947,9.116401666944,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Waldeck-Frankenberg,Landkreis,Hessen,Frauenhaus,False,False,False,False
Frauen- und Kinderschutzhaus Ballenstedt,2280,51.722527,11.2290268,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Harz,Landkreis,Sachsen-Anhalt,Frauenhaus,True,False,False,False
Frauenhaus,2142,49.9425551,11.5744543,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Bayreuth,Kreisfreie Stadt,Bayern,Frauenhaus,False,False,False,False
Frauenhaus Bergstraße,2043,49.688967095718,8.617601744187,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Bergstraße,Landkreis,Hessen,Frauenhaus,False,False,False,False
Hestia-Zufluchtswohnungen Wedding,2051,52.54108405,13.389616050162,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Berlin,Kreisfreie Stadt,Berlin,Schutzwohnung,False,False,False,False
offensiv´91 e.V. Frauenzufluchtswohnung,2037,52.45499615,13.514810051508,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Berlin,Kreisfreie Stadt,Berlin,Schutzwohnung,False,False,False,False
AWO Frauenhaus Bielefeld,2118,52.035301540103,8.526657636721,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Bielefeld,Kreisfreie Stadt,Nordrhein-Westfalen,Frauenhaus,False,False,False,False
Frauenhaus Bitterfeld-Wolfen,2295,51.641033099699,12.307324408998,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Anhalt-Bitterfeld,Landkreis,Sachsen-Anhalt,Frauenhaus,False,False,False,False
Frauenhaus Bocholt,2240,51.851967818808,6.587526413286,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Borken,Kreis,Nordrhein-Westfalen,Frauenhaus,True,False,False,False
Frauenhaus Bochum,2283,51.4818111,7.2196635,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Bochum,Kreisfreie Stadt,Nordrhein-Westfalen,Frauenhaus,False,False,False,False
Hilfe für Frauen in Not-Frauenhaus Bonn e.V.,2129,50.737581638095,7.101763519581,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Bonn,Kreisfreie Stadt,Nordrhein-Westfalen,Frauenhaus,False,False,False,False
Frauenhaus Bonn - Frauen helfen Frauen e.V.,2167,50.729451611876,7.083363726367,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Bonn,Kreisfreie Stadt,Nordrhein-Westfalen,Frauenhaus,False,False,False,False
Frauen- und Kinderschutzhaus Landkreis Leipzig,2003,51.124032663272,12.506939561096,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Leipzig,Landkreis,Sachsen,Frauenhaus,False,False,False,False
AWO-Frauenhaus-Bottrop,2321,51.522238111129,6.926211462971,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Bottrop,Kreisfreie Stadt,Nordrhein-Westfalen,Frauenhaus,False,False,False,False
