shelter_name,monthyear,Aufnahme möglich,keine Angabe,keine Aufnahme möglich,bundesland,kreis
1. Autonomes Frauenhaus,2022-01,0.03225806451612903,0.0,0.967741935483871,Sachsen,Kreisfreie Stadt Leipzig
1. Frauenhaus Köln,2022-01,0.12903225806451613,0.0,0.8709677419354839,Nordrhein-Westfalen,Kreisfreie Stadt Köln
2. Autonomes Frauenhaus Köln,2022-01,0.12903225806451613,0.0,0.8709677419354839,Nordrhein-Westfalen,Kreisfreie Stadt Köln
4. Frauen*- und Kinderschutzhaus Leipzig,2022-01,1.0,0.0,0.0,Sachsen,Kreisfreie Stadt Leipzig
AWO Frauen- und Kinderschutzhaus Bodenseekreis,2022-01,0.0,0.0,1.0,Baden-Württemberg,Kreis Bodenseekreis
AWO Frauenhaus &quotLotte Lemke&quot,2022-01,0.16129032258064516,0.0,0.8387096774193549,Hessen,Landkreis Hochtaunuskreis
AWO Frauenhaus Bielefeld,2022-01,0.3225806451612903,0.0,0.6774193548387096,Nordrhein-Westfalen,Kreisfreie Stadt Bielefeld
AWO Frauenhaus Iserlohn,2022-01,0.0,0.0,1.0,Nordrhein-Westfalen,Kreis Märkischer Kreis
AWO Frauenhaus Landshut,2022-01,0.0,0.0,1.0,Bayern,Kreisfreie Stadt Landshut
AWO Frauenhaus Ludwigslust,2022-01,0.0,0.0,1.0,Mecklenburg-Vorpommern,Landkreis Ludwigslust-Parchim
AWO Frauenhaus Nurdan-Eker Wiesbaden,2022-01,0.0,0.0,1.0,Hessen,Kreisfreie Stadt Wiesbaden
AWO Frauenhaus Schwalm-Eder,2022-01,0.06451612903225806,0.0,0.9354838709677419,Hessen,Landkreis Schwalm-Eder-Kreis
AWO Frauenschutzhaus Stralsund,2022-01,1.0,0.0,0.0,Mecklenburg-Vorpommern,Landkreis Vorpommern-Rügen
AWO-Frauenhaus,2022-01,0.3548387096774194,0.0,0.6451612903225806,Nordrhein-Westfalen,Kreis Kleve
AWO-Frauenhaus-Bottrop,2022-01,0.41935483870967744,0.0,0.5806451612903226,Nordrhein-Westfalen,Kreisfreie Stadt Bottrop
Autonomes Frauenhaus,2022-01,0.25806451612903225,0.0,0.7419354838709677,Hessen,Landkreis Waldeck-Frankenberg
Autonomes Frauenhaus,2022-01,0.03225806451612903,0.0,0.967741935483871,Hessen,Landkreis Main-Kinzig-Kreis
Autonomes Frauenhaus Bielefeld,2022-01,0.0,0.0,1.0,Nordrhein-Westfalen,Kreisfreie Stadt Bielefeld
Autonomes Frauenhaus Celle,2022-01,0.12903225806451613,0.0,0.8709677419354839,Niedersachsen,Landkreis Celle
Autonomes Frauenhaus Dortmund,2022-01,0.3870967741935484,0.0,0.6129032258064516,Nordrhein-Westfalen,Kreisfreie Stadt Dortmund
Autonomes Frauenhaus Duisburg,2022-01,0.1935483870967742,0.0,0.8064516129032258,Nordrhein-Westfalen,Kreisfreie Stadt Duisburg
Autonomes Frauenhaus Elmshorn,2022-01,0.16129032258064516,0.0,0.8387096774193549,Schleswig-Holstein,Kreis Pinneberg
Autonomes Frauenhaus Frankfurt,2022-01,0.0,0.0,1.0,Hessen,Kreisfreie Stadt Frankfurt am Main
Autonomes Frauenhaus Gießen,2022-01,0.5161290322580645,0.0,0.4838709677419355,Hessen,Landkreis Gießen
Autonomes Frauenhaus Heilbronn,2022-01,0.0,0.0,1.0,Baden-Württemberg,Stadtkreis Heilbronn
Autonomes Frauenhaus Itzehoe,2022-01,0.0,0.0,1.0,Schleswig-Holstein,Kreis Steinburg
Autonomes Frauenhaus Kempten (Allgäu),2022-01,0.0,0.0,1.0,Bayern,Kreisfreie Stadt Kempten (Allgäu)
Autonomes Frauenhaus Kreis Plön,2022-01,0.22580645161290322,0.0,0.7741935483870968,Schleswig-Holstein,Kreis Plön
Autonomes Frauenhaus Leverkusen,2022-01,0.0,0.0,1.0,Nordrhein-Westfalen,Kreisfreie Stadt Leverkusen
Autonomes Frauenhaus Lübeck,2022-01,0.0,0.0,1.0,Schleswig-Holstein,Kreisfreie Stadt Lübeck
Autonomes Frauenhaus Marburg,2022-01,1.0,0.0,0.0,Hessen,Landkreis Marburg-Biedenkopf
Autonomes Frauenhaus Münster,2022-01,0.03225806451612903,0.0,0.967741935483871,Nordrhein-Westfalen,Kreisfreie Stadt Münster
Autonomes Frauenhaus Neumünster,2022-01,0.12903225806451613,0.0,0.8709677419354839,Schleswig-Holstein,Kreisfreie Stadt Neumünster
Autonomes Frauenhaus Osnabrück,2022-01,0.22580645161290322,0.0,0.7741935483870968,Niedersachsen,Kreisfreie Stadt Osnabrück
Autonomes Frauenhaus Regensburg,2022-01,0.0,1.0,0.0,Bayern,Kreisfreie Stadt Regensburg
Autonomes Frauenhaus Rheydt,2022-01,0.0,0.0,1.0,Nordrhein-Westfalen,Kreisfreie Stadt Mönchengladbach
Autonomes Frauenhaus Rostock,2022-01,0.4838709677419355,0.0,0.5161290322580645,Mecklenburg-Vorpommern,Landkreis Rostock
Autonomes Frauenhaus Stuttgart,2022-01,0.03225806451612903,0.0,0.967741935483871,Baden-Württemberg,Stadtkreis Stuttgart
Autonomes Frauenhaus Trier,2022-01,0.1935483870967742,0.0,0.8064516129032258,Rheinland-Pfalz,Kreisfreie Stadt Trier
Autonomes Frauenhaus Tübingen,2022-01,0.0,0.0,1.0,Baden-Württemberg,Landkreis Tübingen
Autonomes Frauenhaus Wedel,2022-01,0.0,0.0,1.0,Schleswig-Holstein,Kreis Pinneberg
Caritas Frauenhaus Landshut,2022-01,0.0,0.0,1.0,Bayern,Kreisfreie Stadt Landshut
DRk Frauenschutzhaus Burg,2022-01,0.0,0.0,1.0,Sachsen-Anhalt,Landkreis Jerichower Land
Frauen - und Kinderschutzhaus,2022-01,0.22580645161290322,0.0,0.7741935483870968,Hessen,Landkreis Darmstadt-Dieburg
Frauen - und Kinderschutzhaus Filder,2022-01,0.0,0.0,1.0,Baden-Württemberg,Landkreis Esslingen
Frauen helfen Frauen e.V.,2022-01,0.22580645161290322,0.0,0.7741935483870968,Nordrhein-Westfalen,Kreisfreie Stadt Wuppertal
Frauen helfen Frauen e.V.,2022-01,0.25806451612903225,0.0,0.7419354838709677,Bayern,Landkreis Bad Tölz-Wolfratshausen
Frauen helfen Frauen e.V. Dinslaken,2022-01,0.3225806451612903,0.0,0.6774193548387096,Nordrhein-Westfalen,Kreis Wesel
Frauen helfen Frauen e.V. Heidelberg,2022-01,0.3548387096774194,0.0,0.6451612903225806,Baden-Württemberg,Stadtkreis Heidelberg
Frauen- und Kinderhaus Offenbach,2022-01,0.06451612903225806,0.0,0.9354838709677419,Hessen,Kreisfreie Stadt Offenbach am Main
Frauen- und Kinderschutzhaus,2022-01,0.0,0.0,1.0,Bayern,Kreisfreie Stadt Regensburg
Frauen- und Kinderschutzhaus,2022-01,0.25806451612903225,0.0,0.7419354838709677,Nordrhein-Westfalen,Kreis Coesfeld
Frauen- und Kinderschutzhaus Aachen,2022-01,0.2903225806451613,0.0,0.7096774193548387,Nordrhein-Westfalen,Kreis Städteregion Aachen
Frauen- und Kinderschutzhaus Ballenstedt,2022-01,1.0,0.0,0.0,Sachsen-Anhalt,Landkreis Harz
Frauen- und Kinderschutzhaus Dorsten,2022-01,0.1935483870967742,0.0,0.8064516129032258,Nordrhein-Westfalen,Kreis Recklinghausen
Frauen- und Kinderschutzhaus Freiburg,2022-01,0.0,0.0,1.0,Baden-Württemberg,Stadtkreis Freiburg im Breisgau
Frauen- und Kinderschutzhaus Heckertstift,2022-01,0.9032258064516129,0.0,0.0967741935483871,Baden-Württemberg,Stadtkreis Mannheim
Frauen- und Kinderschutzhaus Heilbronn,2022-01,0.0,0.0,1.0,Baden-Württemberg,Stadtkreis Heilbronn
Frauen- und Kinderschutzhaus Krefeld,2022-01,0.1935483870967742,0.0,0.8064516129032258,Nordrhein-Westfalen,Kreisfreie Stadt Krefeld
Frauen- und Kinderschutzhaus Kreis Viersen,2022-01,0.16129032258064516,0.0,0.8387096774193549,Nordrhein-Westfalen,Kreis Viersen
