shelter_name,Aufnahme möglich,keine Angabe,keine Aufnahme möglich,bundesland,kreis
1. Autonomes Frauenhaus,0.7945205479452054,0.0,0.2054794520547945,Sachsen,Kreisfreie Stadt Leipzig
1. Frauenhaus Köln,0.024657534246575342,0.0,0.9753424657534246,Nordrhein-Westfalen,Kreisfreie Stadt Köln
2. Autonomes Frauenhaus Köln,0.04657534246575343,0.0,0.9534246575342465,Nordrhein-Westfalen,Kreisfreie Stadt Köln
4. Frauen*- und Kinderschutzhaus Leipzig,0.3780821917808219,0.0,0.6219178082191781,Sachsen,Kreisfreie Stadt Leipzig
AWO Frauen- und Kinderschutzhaus Bodenseekreis,0.0,0.0,1.0,Baden-Württemberg,Kreis Bodenseekreis
AWO Frauenhaus &quotLotte Lemke&quot,0.16712328767123288,0.0,0.8328767123287671,Hessen,Landkreis Hochtaunuskreis
AWO Frauenhaus Bielefeld,0.1780821917808219,0.0,0.821917808219178,Nordrhein-Westfalen,Kreisfreie Stadt Bielefeld
AWO Frauenhaus Iserlohn,0.2876712328767123,0.0,0.7123287671232876,Nordrhein-Westfalen,Kreis Märkischer Kreis
AWO Frauenhaus Landshut,0.0,0.0,1.0,Bayern,Kreisfreie Stadt Landshut
AWO Frauenhaus Ludwigslust,0.14520547945205478,0.06575342465753424,0.7890410958904109,Mecklenburg-Vorpommern,Landkreis Ludwigslust-Parchim
AWO Frauenhaus Nurdan-Eker Wiesbaden,0.0,0.0,1.0,Hessen,Kreisfreie Stadt Wiesbaden
AWO Frauenhaus Schwalm-Eder,0.10684931506849316,0.0,0.8931506849315068,Hessen,Landkreis Schwalm-Eder-Kreis
AWO Frauenschutzhaus Ribnitz-Damgarten,0.29863013698630136,0.0273972602739726,0.673972602739726,Mecklenburg-Vorpommern,Kreis Vorpommern-Rügen
AWO Frauenschutzhaus Stralsund,0.5013698630136987,0.03561643835616438,0.46301369863013697,Mecklenburg-Vorpommern,Landkreis Vorpommern-Rügen
AWO-Frauenhaus,0.057534246575342465,0.0,0.9424657534246575,Nordrhein-Westfalen,Kreis Kleve
AWO-Frauenhaus-Bottrop,0.13424657534246576,0.0,0.8657534246575342,Nordrhein-Westfalen,Kreisfreie Stadt Bottrop
Autonomes Frauenhaus,0.04657534246575343,0.0,0.9534246575342465,Hessen,Landkreis Waldeck-Frankenberg
Autonomes Frauenhaus,0.049315068493150684,0.0,0.9506849315068493,Hessen,Landkreis Main-Kinzig-Kreis
Autonomes Frauenhaus Bielefeld,0.005479452054794521,0.0,0.9945205479452055,Nordrhein-Westfalen,Kreisfreie Stadt Bielefeld
Autonomes Frauenhaus Celle,0.1589041095890411,0.00821917808219178,0.8328767123287671,Niedersachsen,Landkreis Celle
Autonomes Frauenhaus Dortmund,0.18082191780821918,0.0,0.8191780821917808,Nordrhein-Westfalen,Kreisfreie Stadt Dortmund
Autonomes Frauenhaus Duisburg,0.10136986301369863,0.0,0.8986301369863013,Nordrhein-Westfalen,Kreisfreie Stadt Duisburg
