bundesland,monthyear,Aufnahme möglich für Frauen mit bis zu einem Kind,Aufnahme möglich für Frauen mit mehreren Kindern,Aufnahme möglich ohne detaillierte Angabe,Keine Aufnahme möglich,Platz für Frauen ohne Kinder,keine Angabe,Gesamtzahl der Frauenhäuser,"Anzahl der Frauenhäuser, die wir analysieren könnten"
Baden-Württemberg,2022-01,0.007065217391304349,0.24402173913043476,0.016304347826086956,0.7119565217391305,0.0,0.020652173913043477,41,21
Baden-Württemberg,2022-02,0.058750000000000004,0.173125,0.0,0.74875,0.019375,0.0,41,21
Baden-Württemberg,2022-03,0.016745159602302457,0.05494505494505494,0.016221873364730507,0.8362114076399791,0.007849293563579279,0.0423861852433281,41,21
Baden-Württemberg,2022-04,0.017366946778711485,0.09131652661064427,0.006722689075630252,0.8140056022408964,0.006722689075630252,0.0638655462184874,41,21
Baden-Württemberg,2022-05,0.01798941798941799,0.05925925925925926,0.0417989417989418,0.8264550264550264,0.010052910052910053,0.044444444444444446,41,21
Baden-Württemberg,2022-06,0.021848739495798318,0.04089635854341737,0.02857142857142857,0.8890756302521009,0.0196078431372549,0.0,41,21
Baden-Württemberg,2022-07,0.017598343685300204,0.07971014492753623,0.044513457556935816,0.7950310559006211,0.0,0.05641821946169773,41,21
Baden-Württemberg,2022-08,0.005756148613291471,0.0837257980115123,0.014652014652014652,0.8435374149659864,0.0,0.008895866038723181,41,21
Baden-Württemberg,2022-09,0.027287319422150885,0.06206527554842162,0.010700909577314071,0.8560727661851258,0.009630818619582664,0.011235955056179775,41,21
Baden-Württemberg,2022-10,0.002560163850486431,0.05427547363031234,0.007168458781362007,0.9170506912442397,0.0,0.018945212493599588,41,21
Baden-Württemberg,2022-11,0.013756613756613759,0.04338624338624338,0.012169312169312168,0.862962962962963,0.0015873015873015873,0.06613756613756613,41,21
Baden-Württemberg,2022-12,0.0,0.018633540372670808,0.004658385093167702,0.9166666666666666,0.0015527950310559005,0.05848861283643892,41,21
Bayern,2022-01,0.0,0.12471395881006864,0.09382151029748283,0.7013729977116704,0.04519450800915332,0.03489702517162471,37,19
Bayern,2022-02,0.0,0.10526315789473684,0.0881578947368421,0.8013157894736842,0.005263157894736842,0.0,37,19
Bayern,2022-03,0.0,0.0913823019086177,0.11914401388085598,0.768074031231926,0.018507807981492194,0.002891844997108155,37,19
Bayern,2022-04,0.003095975232198142,0.10588235294117647,0.1108359133126935,0.7176470588235294,0.042105263157894736,0.020433436532507742,37,19
Bayern,2022-05,0.019883040935672513,0.10116959064327485,0.05672514619883041,0.8198830409356725,0.0023391812865497076,0.0,37,19
Bayern,2022-06,0.029721362229102165,0.013622291021671827,0.05820433436532508,0.8978328173374613,0.0,0.0,37,19
Bayern,2022-07,0.011441647597254004,0.008581235697940504,0.05892448512585813,0.9210526315789473,0.0,0.0,37,19
Bayern,2022-08,0.004048582995951417,0.001735106998264893,0.05957200694042799,0.9282822440717178,0.00578368999421631,0.0,37,19
Bayern,2022-09,0.010053222945002957,0.050266114725014785,0.07924305144884683,0.8604376108811355,0.0,0.0,37,19
