shelter_name,shelter_id,Aufnahme möglich,keine Angabe,keine Aufnahme möglich,bundesland,kreis,latitude,longitude
1. Autonomes Frauenhaus,2027,0.5769230769230769,0.0,0.4230769230769231,Sachsen,Kreisfreie Stadt Leipzig,51.325187635158,12.373901299377
1. Frauenhaus Köln,2140,0.031135531135531136,0.0,0.9688644688644689,Nordrhein-Westfalen,Kreisfreie Stadt Köln,50.933466575848,6.998637825656
2. Autonomes Frauenhaus Köln,2253,0.04945054945054945,0.0,0.9505494505494505,Nordrhein-Westfalen,Kreisfreie Stadt Köln,50.921396360676,6.995416051662
4. Frauen*- und Kinderschutzhaus Leipzig,2317,0.25274725274725274,0.0,0.7472527472527473,Sachsen,Kreisfreie Stadt Leipzig,51.3406321,12.3747329
AWO Frauen- und Kinderschutzhaus Bodenseekreis,2333,0.009157509157509158,0.0,0.9908424908424909,Baden-Württemberg,Kreis Bodenseekreis,47.638670429344,9.466205664648
AWO Frauenhaus &quotLotte Lemke&quot,2103,0.12637362637362637,0.0,0.8736263736263736,Hessen,Landkreis Hochtaunuskreis,50.2268308,8.6181618
AWO Frauenhaus Bielefeld,2118,0.1391941391941392,0.0,0.8608058608058609,Nordrhein-Westfalen,Kreisfreie Stadt Bielefeld,52.035301540103,8.526657636721
AWO Frauenhaus Iserlohn,2232,0.2838827838827839,0.0,0.7161172161172161,Nordrhein-Westfalen,Kreis Märkischer Kreis,51.383210093974,7.684256826022
AWO Frauenhaus Landshut,2187,0.0,0.0,1.0,Bayern,Kreisfreie Stadt Landshut,48.53761662542,12.153462601108
AWO Frauenhaus Ludwigslust,2148,0.09706959706959707,0.11355311355311355,0.7893772893772893,Mecklenburg-Vorpommern,Landkreis Ludwigslust-Parchim,53.3244914,11.4969238
AWO Frauenhaus Nurdan-Eker Wiesbaden,2312,0.0,0.0,1.0,Hessen,Kreisfreie Stadt Wiesbaden,50.092145133904,8.233820739889
AWO Frauenhaus Schwalm-Eder,2104,0.1794871794871795,0.0,0.8205128205128205,Hessen,Landkreis Schwalm-Eder-Kreis,51.030353699843,9.41785004983
AWO Frauenschutzhaus Stralsund,2172,0.33516483516483514,0.056776556776556776,0.608058608058608,Mecklenburg-Vorpommern,Landkreis Vorpommern-Rügen,54.3161903,13.0950601
AWO-Frauenhaus,2311,0.05128205128205128,0.0,0.9487179487179487,Nordrhein-Westfalen,Kreis Kleve,51.789621872871,6.145853870316
AWO-Frauenhaus-Bottrop,2321,0.09706959706959707,0.0,0.9029304029304029,Nordrhein-Westfalen,Kreisfreie Stadt Bottrop,51.522238111129,6.926211462971
Autonomes Frauenhaus,2081,0.07142857142857142,0.0,0.9285714285714286,Hessen,Landkreis Waldeck-Frankenberg,51.11062982947,9.116401666944
Autonomes Frauenhaus,2170,0.04945054945054945,0.0,0.9505494505494505,Hessen,Landkreis Main-Kinzig-Kreis,50.25418357165,9.295718601627
Autonomes Frauenhaus Bielefeld,2220,0.029304029304029304,0.0,0.9706959706959707,Nordrhein-Westfalen,Kreisfreie Stadt Bielefeld,52.0191005,8.531007
Autonomes Frauenhaus Celle,2041,0.17032967032967034,0.005494505494505495,0.8241758241758241,Niedersachsen,Landkreis Celle,52.620867,10.0626059
Autonomes Frauenhaus Dortmund,2052,0.14285714285714285,0.0,0.8571428571428571,Nordrhein-Westfalen,Kreisfreie Stadt Dortmund,51.5142273,7.4652789
Autonomes Frauenhaus Duisburg,2199,0.08241758241758242,0.0,0.9175824175824175,Nordrhein-Westfalen,Kreisfreie Stadt Duisburg,51.434999,6.759562
Autonomes Frauenhaus Elmshorn,2049,0.056776556776556776,0.0,0.9432234432234432,Schleswig-Holstein,Kreis Pinneberg,53.7542251,9.6592636
Autonomes Frauenhaus Frankfurt,2091,0.24358974358974358,0.0,0.7564102564102564,Hessen,Kreisfreie Stadt Frankfurt am Main,50.1109221,8.6821267
Autonomes Frauenhaus Gießen,2181,0.10989010989010989,0.0,0.8901098901098901,Hessen,Landkreis Gießen,50.581233679102,8.666742445447
Autonomes Frauenhaus Heilbronn,2259,0.029304029304029304,0.047619047619047616,0.9230769230769231,Baden-Württemberg,Stadtkreis Heilbronn,49.131106886991,9.228034832273
Autonomes Frauenhaus Itzehoe,2193,0.02564102564102564,0.0,0.9743589743589743,Schleswig-Holstein,Kreis Steinburg,53.9242344,9.5100452
Autonomes Frauenhaus Kempten (Allgäu),2024,0.0,0.047619047619047616,0.9523809523809523,Bayern,Kreisfreie Stadt Kempten (Allgäu),47.762382099999996,10.3245689
Autonomes Frauenhaus Kreis Plön,2034,0.13003663003663005,0.031135531135531136,0.8388278388278388,Schleswig-Holstein,Kreis Plön,54.232749761427,10.279783840293
Autonomes Frauenhaus Leverkusen,2151,0.04395604395604396,0.0,0.9560439560439561,Nordrhein-Westfalen,Kreisfreie Stadt Leverkusen,51.036439483933,6.993204651605
Autonomes Frauenhaus Lübeck,2249,0.0,0.0,1.0,Schleswig-Holstein,Kreisfreie Stadt Lübeck,53.867549231603,10.687671111421
Autonomes Frauenhaus Marburg,2025,0.10073260073260074,0.0,0.8992673992673993,Hessen,Landkreis Marburg-Biedenkopf,50.8117327,8.7757742
Autonomes Frauenhaus Münster,2141,0.06593406593406594,0.0,0.9340659340659341,Nordrhein-Westfalen,Kreisfreie Stadt Münster,51.956729697633,7.632398512595
