shelter_name,shelter_id,latitude,longitude,gen,bez,nuts,nuts2,bundesland
Frauen- und Kinderschutzhaus Aachen,2270,50.788047150729,6.097588101025,Städteregion Aachen,Kreis,DEA2D,DEA,Nordrhein-Westfalen
Frauenhaus Alsdorf,2244,50.871672283047,6.208659018565,Städteregion Aachen,Kreis,DEA2D,DEA,Nordrhein-Westfalen
Frauenhaus Arnsberg,2182,51.407732617724,8.051075898828,Hochsauerlandkreis,Kreis,DEA57,DEA,Nordrhein-Westfalen
Frauenhaus Bergisch Gladbach,2067,50.992223921021,7.153430002869,Rheinisch-Bergischer Kreis,Kreis,DEA2B,DEA,Nordrhein-Westfalen
AWO Frauenhaus Bielefeld,2118,52.035301540103,8.526657636721,Bielefeld,Kreisfreie Stadt,DEA41,DEA,Nordrhein-Westfalen
Autonomes Frauenhaus Bielefeld,2220,52.0191005,8.531007,Bielefeld,Kreisfreie Stadt,DEA41,DEA,Nordrhein-Westfalen
Frauenhaus Bocholt,2240,51.851967818808,6.587526413286,Borken,Kreis,DEA34,DEA,Nordrhein-Westfalen
Frauenhaus Bochum,2283,51.4818111,7.2196635,Bochum,Kreisfreie Stadt,DEA51,DEA,Nordrhein-Westfalen
Hilfe für Frauen in Not-Frauenhaus Bonn e.V.,2129,50.737581638095,7.101763519581,Bonn,Kreisfreie Stadt,DEA22,DEA,Nordrhein-Westfalen
Frauenhaus Bonn - Frauen helfen Frauen e.V.,2167,50.729451611876,7.083363726367,Bonn,Kreisfreie Stadt,DEA22,DEA,Nordrhein-Westfalen
AWO-Frauenhaus-Bottrop,2321,51.522238111129,6.926211462971,Bottrop,Kreisfreie Stadt,DEA31,DEA,Nordrhein-Westfalen
Frauenhaus Datteln,2169,51.651767115463,7.328764232949,Recklinghausen,Kreis,DEA36,DEA,Nordrhein-Westfalen
Frauenhaus Lippe,2238,51.938132853507,8.87196878474,Lippe,Kreis,DEA45,DEA,Nordrhein-Westfalen
Frauen helfen Frauen e.V. Dinslaken,2145,51.567639806596,6.747491084656,Wesel,Kreis,DEA1F,DEA,Nordrhein-Westfalen
Frauen- und Kinderschutzhaus Dorsten,2115,51.654119376554,6.963879626385,Recklinghausen,Kreis,DEA36,DEA,Nordrhein-Westfalen
Autonomes Frauenhaus Dortmund,2052,51.5142273,7.4652789,Dortmund,Kreisfreie Stadt,DEA52,DEA,Nordrhein-Westfalen
Autonomes Frauenhaus Duisburg,2199,51.434999,6.759562,Duisburg,Kreisfreie Stadt,DEA12,DEA,Nordrhein-Westfalen
Frauenhaus Duisburg gGmbH,2203,51.434999,6.759562,Duisburg,Kreisfreie Stadt,DEA12,DEA,Nordrhein-Westfalen
Frauen- und Kinderschutzhaus,2365,51.825388946298,7.269914071563,Coesfeld,Kreis,DEA35,DEA,Nordrhein-Westfalen
Internationales Frauenhaus,2328,51.236733864852,6.792454779053,Düsseldorf,Kreisfreie Stadt,DEA11,DEA,Nordrhein-Westfalen
Frauenhaus Rhein - Erftkreis e.V.,2076,50.8072763,6.8330117999999995,Rhein-Erft-Kreis,Kreis,DEA27,DEA,Nordrhein-Westfalen
Frauenhaus Espelkamp,2184,52.375750324544,8.632890486707,Minden-Lübbecke,Kreis,DEA46,DEA,Nordrhein-Westfalen
Frauenhaus Essen,2143,51.438379602305,7.009099068551,Essen,Kreisfreie Stadt,DEA13,DEA,Nordrhein-Westfalen
Schutzhaus für Frauen und Kinder,2107,50.616462856427,6.84026134715,Euskirchen,Kreis,DEA28,DEA,Nordrhein-Westfalen
Frauenhaus Gelsenkirchen,2112,51.540968835085,7.111938609989,Gelsenkirchen,Kreisfreie Stadt,DEA32,DEA,Nordrhein-Westfalen
Frauenhaus Gütersloh,2267,51.9063997,8.3782078,Gütersloh,Kreis,DEA42,DEA,Nordrhein-Westfalen
Frauenhaus Hamm,2171,51.6697042432,7.831726274505,Hamm,Kreisfreie Stadt,DEA54,DEA,Nordrhein-Westfalen
Frauenhaus Herford,2033,52.1196393,8.6637749,Herford,Kreis,DEA43,DEA,Nordrhein-Westfalen
Frauenhaus Herne,2032,51.5435523,7.2176455,Herne,Kreisfreie Stadt,DEA55,DEA,Nordrhein-Westfalen
Frauenhaus Herten,2157,51.572645954604,7.131574084656,Gelsenkirchen,Kreisfreie Stadt,DEA32,DEA,Nordrhein-Westfalen
